BBLS	-7.6375	123.5217	142
BGCI	-6.8816	123.3911	11
GHMI	-6.3563	127.8797	37
GLMI	-4.1619	127.7879	130.21
GTOI	-5.2372	122.8700	313.3
IHMI	-4.4918	127.5556	130
JHMI	-4.9179	127.4783	36
KGCM	-5.3603	122.8516	32
KMSI	-5.4255	123.9800	218
LBMI	-6.6379	127.5008	113.91
LUWI	-7.0418	122.7717	6
MGAI	-1.9921	126.6700	91
MNI	-4.5560	124.8400	191
MTAI	-3.8020	128.2759	24
OBMI	-7.3413	127.6444	110.89
PBCI	-5.6170	124.0396	33
PBMS	-5.0047	124.2823	88
PMMI	-5.6262	127.4158	16
PSSI	-3.2647	125.4045	1253
SANI	-8.0497	125.9881	24
SGSI	-2.3140	125.5286	100.47
TBMC	-5.2861	124.5900	254
TGCM	-5.4799	123.0778	163
TMSI	-4.7052	124.9256	771
TNTI	-5.2282	127.3667	43
WBMI	-5.6607	127.8708	25
WHMI	-4.9175	128.1320	41
